rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,2949120,16.627314778168998,10.967879168,1.536839485168457,4.649871036685114
16,32,5898240,16.872647949059804,10.224068096,1.678320288658142,5.35655095093643
64,128,23592960,17.13804877201716,12.011719168,2.1817355155944824,8.861672491497824
